Colex_Key,dataset_ID,Form,Colex_IDs,Num_concepts,Concept_names,Semantic_field,Ontological_category
stan1295_Ofen,ids,Ofen,"{'1143', '859'}",2,"['OVEN', 'STOVE']","['Food and drink', 'The house']","['Person/Thing', 'Person/Thing']"
stan1295_Oheim,ids,Oheim,"{'1985', '1327', '1984'}",3,"[""FATHER'S BROTHER"", 'UNCLE', ""MOTHER'S BROTHER""]","['Kinship', 'Kinship', 'Kinship']","['Person/Thing', 'Person/Thing', 'Person/Thing']"
stan1295_Onkel,ids,Onkel,"{'1985', '1327', '1984'}",3,"[""FATHER'S BROTHER"", 'UNCLE', ""MOTHER'S BROTHER""]","['Kinship', 'Kinship', 'Kinship']","['Person/Thing', 'Person/Thing', 'Person/Thing']"
stan1295_Pflug,ids,Pflug,"{'2154', '1921'}",2,"['PLOUGH (INSTRUMENT)', 'PLOUGH']","['Agriculture and vegetation', 'Agriculture and vegetation']","['Action/Process', 'Person/Thing']"
stan1295_Preis,ids,Preis,"{'1687', '657'}",2,"['PRAISE', 'PRICE']","['Emotions and values', 'Possession']","['Person/Thing', 'Person/Thing']"
stan1295_Rock,ids,Rock,"{'1600', '603'}",2,"['SKIRT', 'COAT']","['Clothing and grooming', 'Clothing and grooming']","['Person/Thing', 'Person/Thing']"
stan1295_Ruder,ids,Ruder,"{'3137', '108'}",2,"['OAR', 'RUDDER']","['Basic actions and technology', 'Motion']","['Person/Thing', 'Person/Thing']"
stan1295_Samen,ids,Samen,"{'748', '714'}",2,"['SOW SEEDS', 'SEED']","['Agriculture and vegetation', 'Agriculture and vegetation']","['Action/Process', 'Person/Thing']"
stan1295_Sau,ids,Sau,"{'1337', '1351'}",2,"['PIG', 'SOW (FEMALE PIG)']","['Animals', 'Animals']","['Person/Thing', 'Person/Thing']"
stan1295_Schafbock,ids,Schafbock,"{'1331', '1344'}",2,"['SHEEP', 'RAM']","['Animals', 'Animals']","['Person/Thing', 'Person/Thing']"
stan1295_Schaufel,ids,Schaufel,"{'1176', '1901'}",2,"['SPADE', 'SHOVEL']","['Agriculture and vegetation', 'Agriculture and vegetation']","['Person/Thing', 'Person/Thing']"
stan1295_Schere,ids,Schere,"{'356', '341', '3327'}",3,"['SHEARS', 'SICKLE', 'AUTUMN OR HARVEST SEASON']","['Basic actions and technology', 'Agriculture and vegetation', 'Time']","['Person/Thing', 'Person/Thing', 'Other']"
stan1295_Schnake,ids,Schnake,"{'1509', '730', '95'}",3,"['MOSQUITO', 'SNAKE', 'SANDFLY']","['Animals', 'Animals', 'Animals']","['Person/Thing', 'Person/Thing', 'Person/Thing']"
stan1295_Schnur,ids,Schnur,"{'1218', '2265'}",2,"['ROPE', 'DAUGHTER-IN-LAW (OF MAN)']","['Basic actions and technology', 'Kinship']","['Person/Thing', 'Person/Thing']"
stan1295_Schüssel,ids,Schüssel,"{'481', '1530'}",2,"['DISH', 'BOWL']","['Food and drink', 'Food and drink']","['Person/Thing', 'Person/Thing']"
